timestamp,day,blockNumber,totalValueLockedUSD,dailyLDORewardAmount,dailyLDORewardUSD,dailyLDORewardROI,dailyCRVRewardAmount,dailyCRVRewardUSD,dailyCRVRewardROI
1667512739,19299,15892325,4160182.16245194234259820268015,0.0,0.0,0.0,0.0,0.0,0.0
1667553479,19300,15895701,4122148.117389705400836251387646,0.0,0.0,0.0,0.0,0.0,0.0
1667691863,19301,15907175,3477035.06327430375662454000727,0.0,0.0,0.0,0.0,0.0,0.0
1667767187,19302,15913424,3081702.048081320913761673449906,0.0,0.0,0.0,0.0,0.0,0.0
1667846303,19303,15919988,3081702.048081320913761673449906,0.0,0.0,0.0,0.0,0.0,0.0
1667947643,19304,15928391,3081702.048081320913761673449906,0.0,0.0,0.0,0.0,0.0,0.0
1668032831,19305,15935438,2176372.456806073470873985817941,0.0,0.0,0.0,0.0,0.0,0.0
1668123395,19306,15942943,2459449.086072740430711983922919,0.0,0.0,0.0,0.0,0.0,0.0
1668208739,19307,15950007,2459209.302436825611197436408855,0.0,0.0,0.0,0.0,0.0,0.0
1668297059,19308,15957334,2365794.912077132925938392704965,0.0,0.0,0.0,0.0,0.0,0.0
1668369131,19309,15963314,2306599.9007271841356201847315,0.0,0.0,0.0,0.0,0.0,0.0
1668467339,19310,15971465,2306599.9007271841356201847315,0.0,0.0,0.0,0.0,0.0,0.0
1668556655,19311,15978857,2370407.6312587123357601311922,0.0,0.0,0.0,0.0,0.0,0.0
1668637307,19312,15985529,2117573.464079089750713649580892,0.0,0.0,0.0,0.0,0.0,0.0
1668723323,19313,15992657,2117573.464079089750713649580892,0.0,0.0,0.0,0.0,0.0,0.0
1668815279,19314,16000278,2179239.03451246469640221965088,0.0,0.0,0.0,0.0,0.0,0.0
1668899543,19315,16007264,1895242.52995265067802158226722,0.0,0.0,0.0,0.0,0.0,0.0
1668978095,19316,16013779,1826781.116803194565005826625874,0.0,0.0,0.0,0.0,0.0,0.0
1669066391,19317,16021097,1721560.31704161586788585473448,0.0,0.0,0.0,0.0,0.0,0.0
1669135091,19318,16026788,1712635.788338811374368694504364,0.0,0.0,0.0,0.0,0.0,0.0
1669225607,19319,16034279,1764915.734861630946264812461738,0.0,0.0,0.0,0.0,0.0,0.0
1669317323,19320,16041864,1865078.348759845131825373724175,0.0,0.0,0.0,0.0,0.0,0.0
1669420679,19321,16050427,1852849.435760553693933588034666,0.0,0.0,0.0,0.0,0.0,0.0
1669503359,19322,16057277,1852849.447868561707071609285599,0.0,0.0,0.0,0.0,0.0,0.0
1669579859,19323,16063621,1890783.773464518085980089151125,0.0,0.0,0.0,0.0,0.0,0.0
1669679495,19324,16071889,1822217.379531238089813438603978,0.0,0.0,0.0,0.0,0.0,0.0
1669753271,19325,16077998,1889865.001480294032326943670202,0.0,0.0,0.0,0.0,0.0,0.0
1669838807,19326,16085078,1963899.755699083030484601225462,0.0,0.0,0.0,0.0,0.0,0.0
1669937735,19327,16093275,1965251.48286918746945324893176,0.0,0.0,0.0,0.0,0.0,0.0
1670020931,19328,16100175,1965251.484785553004433970420096,0.0,0.0,0.0,0.0,0.0,0.0
1670110007,19329,16107560,1969437.490952519983647593034687,0.0,0.0,0.0,0.0,0.0,0.0
1670190347,19330,16114211,1954796.72563022531571994221885,0.0,0.0,0.0,0.0,0.0,0.0
1670281199,19331,16121725,1941256.73857801457309243077582,0.0,0.0,0.0,0.0,0.0,0.0
1670327603,19332,16125578,1941257.242663814611179936093536,0.0,0.0,0.0,0.0,0.0,0.0
1670457251,19333,16136241,1955475.535938692793661700542912,0.0,0.0,0.0,0.0,0.0,0.0
1670531351,19334,16142382,1913810.14123468401482531550995,0.0,0.0,0.0,0.0,0.0,0.0
1670627363,19335,16150329,1992568.202522758284752740769514,0.0,0.0,0.0,0.0,0.0,0.0
1670679671,19336,16154667,1963713.102576792353483953893516,0.0,0.0,0.0,0.0,0.0,0.0
1670802095,19337,16164816,1976352.07311055796375777625564,0.0,0.0,0.0,0.0,0.0,0.0
1670885351,19338,16171710,1976352.07311055796375777625564,0.0,0.0,0.0,0.0,0.0,0.0
1670971763,19339,16178861,2015185.808760927303515864226748,0.0,0.0,0.0,0.0,0.0,0.0
1671060539,19340,16186223,2068056.736762255570443052558725,0.0,0.0,0.0,0.0,0.0,0.0
1671126551,19341,16191689,1998113.077629800718825384453141,0.0,0.0,0.0,0.0,0.0,0.0
1671227771,19342,16200077,1998113.077629800718825384453141,0.0,0.0,0.0,0.0,0.0,0.0
1671302363,19343,16206265,1834714.00126658157433741602275,0.0,0.0,0.0,0.0,0.0,0.0
